Title,ArtistName,Rank,Weeks,isNew
act up,city girls,36,7,0
look back at it,a boogie wit da hoodie,37,19,0
when the party's over,billie eilish,38,23,0
better now,post malone,39,51,0
you say,lauren daigle,40,40,0
here with me,marshmello featuring chvrches,41,6,0
here tonight,brett young,42,15,0
baby shark,pinkfong,43,16,0
eyes on you,chase rice,44,9,0
mia,bad bunny featuring drake,45,27,0
god's country,blake shelton,46,3,0
youngblood,5 seconds of summer,47,46,0
swervin,a boogie wit da hoodie featuring 6ix9ine,48,17,0
tequila,dan + shay,49,50,0
money,cardi b,50,26,0
suge,dababy,51,3,0
who do you love,the chainsmokers featuring 5 seconds of summer,52,10,0
look what god gave her,thomas rhett,53,7,0
good as you,kane brown,54,8,0
whiskey glasses,morgan wallen,55,7,0
con calma,daddy yankee & katy perry featuring snow,56,11,0
make it sweet,old dominion,57,16,0
close friends,lil baby,58,25,0
mixed personalities,ynw melly featuring kanye west,59,13,0
worth it,yk osiris,60,9,0
robbery,juice wrld,61,9,0
i've been waiting,lil peep & ilovemakonnen featuring fall out boy,62,6,0
miss me more,kelsea ballerini,63,11,0
wish you were gay,billie eilish,64,7,0
you should see me in a crown,billie eilish,65,4,0
blue on black,five finger death punch featuring kenny wayne shepherd  brantley gilbert & brian may,66,1,1
don't call me up,mabel,67,4,0
sos,avicii featuring aloe blacc,68,1,1
rumor,lee brice,69,6,0
night shift,jon pardi,70,9,0
walk me home,p!nk,71,7,0
clout,offset featuring cardi b,72,2,0
kill this love,blackpink,73,2,0
pop out,polo g featuring lil tjay,74,4,0
cool,jonas brothers,75,2,0
that's a rack,lil uzi vert,76,1,1
girls need love,summer walker x drake,77,8,0
shot clock,ella mai,78,12,0
girl,maren morris,79,7,0
bad liar,imagine dragons,80,8,0
love ain't,eli young band,81,1,1
double up,nipsey hussle featuring belly & dom kennedy,82,3,0
undrunk,fletcher,83,6,0
big ole freak,megan thee stallion,84,2,0
put a date on it,yo gotti featuring lil baby,85,12,0
saturday nights,khalid & kane brown,86,11,0
one that got away,michael ray,87,8,0
my strange addiction,billie eilish,88,3,0
faucet failure,ski mask the slump god,89,8,0
xanny,billie eilish,90,3,0
ocean eyes,billie eilish,91,9,0
last time that i checc'd,nipsey hussle featuring yg,92,3,0
talk you out of it,florida georgia line,93,9,0
i'm so tired...,lauv & troye sivan,94,2,0
make it right,bts featuring lauv,95,1,1
hey look ma  i made it,panic! at the disco,96,1,1
this is it,scotty mccreery,97,19,0
there was this girl,riley green,98,8,0
let me down slowly,alec benjamin + alessia cara,99,8,0
on my way to you,cody johnson,100,8,0
old town road,lil nas x featuring billy ray cyrus,1,7,0
wow.,post malone,2,17,0
sunflower (spider-man: into the spider-verse),post malone & swae lee,3,26,0
7 rings,ariana grande,4,13,0
without me,halsey,5,28,0
sucker,jonas brothers,6,7,0
dancing with a stranger,sam smith & normani,7,14,0
boy with luv,bts featuring halsey,8,1,1
bad guy,billie eilish,9,3,0
please me,cardi b & bruno mars,10,9,0
middle child,j. cole,11,13,0
happier,marshmello & bastille,12,35,0
sweet but psycho,ava max,13,18,0
thotiana,blueface,14,14,0
going bad,meek mill featuring drake,15,20,0
shallow,lady gaga & bradley cooper,16,29,0
better,khalid,17,31,0
break up with your girlfriend  i'm bored,ariana grande,18,10,0
eastside,benny blanco  halsey & khalid,19,40,0
talk,khalid,20,10,0
high hopes,panic! at the disco,21,37,0
a lot,21 savage,22,17,0
girls like you,maroon 5 featuring cardi b,23,47,0
beautiful crazy,luke combs,24,23,0
close to me,ellie goulding x diplo featuring swae lee,25,22,0
sicko mode,travis scott,26,37,0
racks in the middle,nipsey hussle featuring roddy ricch & hit-boy,27,3,0
sanguine paradise,lil uzi vert,28,1,1
murder on my mind,ynw melly,29,13,0
be alright,dean lewis,30,25,0
bury a friend,billie eilish,31,12,0
drip too hard,lil baby & gunna,32,31,0
pure water,mustard & migos,33,12,0
thank u  next,ariana grande,34,24,0
envy me,calboy,35,18,0
act up,city girls,36,7,0
look back at it,a boogie wit da hoodie,37,19,0
when the party's over,billie eilish,38,23,0
better now,post malone,39,51,0
you say,lauren daigle,40,40,0
here with me,marshmello featuring chvrches,41,6,0
here tonight,brett young,42,15,0
baby shark,pinkfong,43,16,0
eyes on you,chase rice,44,9,0
mia,bad bunny featuring drake,45,27,0
god's country,blake shelton,46,3,0
youngblood,5 seconds of summer,47,46,0
swervin,a boogie wit da hoodie featuring 6ix9ine,48,17,0
tequila,dan + shay,49,50,0
money,cardi b,50,26,0
suge,dababy,51,3,0
who do you love,the chainsmokers featuring 5 seconds of summer,52,10,0
look what god gave her,thomas rhett,53,7,0
good as you,kane brown,54,8,0
whiskey glasses,morgan wallen,55,7,0
con calma,daddy yankee & katy perry featuring snow,56,11,0
make it sweet,old dominion,57,16,0
close friends,lil baby,58,25,0
mixed personalities,ynw melly featuring kanye west,59,13,0
worth it,yk osiris,60,9,0
robbery,juice wrld,61,9,0
i've been waiting,lil peep & ilovemakonnen featuring fall out boy,62,6,0
miss me more,kelsea ballerini,63,11,0
wish you were gay,billie eilish,64,7,0
you should see me in a crown,billie eilish,65,4,0
blue on black,five finger death punch featuring kenny wayne shepherd  brantley gilbert & brian may,66,1,1
don't call me up,mabel,67,4,0
sos,avicii featuring aloe blacc,68,1,1
rumor,lee brice,69,6,0
night shift,jon pardi,70,9,0
walk me home,p!nk,71,7,0
clout,offset featuring cardi b,72,2,0
kill this love,blackpink,73,2,0
pop out,polo g featuring lil tjay,74,4,0
cool,jonas brothers,75,2,0
that's a rack,lil uzi vert,76,1,1
girls need love,summer walker x drake,77,8,0
shot clock,ella mai,78,12,0
girl,maren morris,79,7,0
bad liar,imagine dragons,80,8,0
love ain't,eli young band,81,1,1
double up,nipsey hussle featuring belly & dom kennedy,82,3,0
undrunk,fletcher,83,6,0
big ole freak,megan thee stallion,84,2,0
put a date on it,yo gotti featuring lil baby,85,12,0
saturday nights,khalid & kane brown,86,11,0
one that got away,michael ray,87,8,0
my strange addiction,billie eilish,88,3,0
faucet failure,ski mask the slump god,89,8,0
xanny,billie eilish,90,3,0
ocean eyes,billie eilish,91,9,0
last time that i checc'd,nipsey hussle featuring yg,92,3,0
talk you out of it,florida georgia line,93,9,0
i'm so tired...,lauv & troye sivan,94,2,0
make it right,bts featuring lauv,95,1,1
hey look ma  i made it,panic! at the disco,96,1,1
