Title,ArtistName,Rank,Weeks,isNew
in my head,jason derulo,32,32,0
gettin' over you,david guetta & chris willis featuring fergie & lmfao,33,12,0
jar of hearts,christina perri,34,3,0
free,zac brown band,35,9,0
the only exception,paramore,36,8,0
rain is a good thing,luke bryan,37,17,0
haven't met you yet,michael buble,38,42,0
round & round,selena gomez & the scene,39,4,0
pray for you,jaron and the long road to love,40,17,0
rock that body,the black eyed peas,41,12,0
ride,ciara featuring ludacris,42,13,0
teach me how to dougie,cali swag district,43,8,0
waka waka (this time for africa),shakira featuring freshlyground,44,6,0
love like crazy,lee brice,45,11,0
secrets,onerepublic,46,4,0
pretty good at drinkin' beer,billy currington,47,7,0
the house that built me,miranda lambert,48,17,0
magic,b.o.b featuring rivers cuomo,49,6,0
this afternoon,nickelback,50,15,0
pretty boy swag,soulja boy tell'em,51,5,0
got your back,t.i. featuring keri hilson,52,7,0
i never told you,colbie caillat,53,17,0
half of my heart,john mayer,54,8,0
beautiful monster,ne-yo,55,6,0
water,brad paisley,56,14,0
if it's love,train,57,6,0
over,drake,58,19,0
lose my mind,young jeezy featuring plies,59,11,0
power,kanye west,60,3,0
animal,neon trees,61,7,0
our kind of love,lady antebellum,62,6,0
she won't be lonely long,clay walker,63,16,0
king of anything,sara bareilles,64,4,0
can't be tamed,miley cyrus,65,9,0
i'm in,keith urban,66,8,0
come back song,darius rucker,67,1,1
crazy town,jason aldean,68,14,0
if i had you,adam lambert,69,4,0
miss me,drake featuring lil wayne,70,7,0
break my bank,new boyz featuring iyaz,71,1,1
glitter in the air,p!nk,72,9,0
little white church,little big town,73,7,0
la la la,auburn featuring iyaz,74,1,1
sex room,ludacris featuring trey songz,75,8,0
we'll be a dream,we the kings featuring demi lovato,76,3,0
kissin u,miranda cosgrove,77,8,0
all about tonight,blake shelton,78,5,0
hold you (hold yuh),gyptian,79,8,0
if i die young,the band perry,80,2,0
club can't handle me,flo rida featuring david guetta,81,3,0
b.m.f. (blowin' money fast),rick ross featuring styles p,82,2,0
farmer's daughter,rodney atkins,83,5,0
if we ever meet again,timbaland featuring katy perry,84,18,0
this ain't nothin',craig morgan,85,5,0
deuces,chris brown featuring tyga & kevin mccall,86,3,0
all over me,josh turner,87,3,0
143,bobby brackins featuring ray j,88,5,0
cuando me enamoro,enrique iglesias featuring juan luis guerra,89,3,0
opposite of adults,chiddy bang,90,1,1
ordinary girl,hannah montana,91,1,1
bittersweet,fantasia,92,2,0
no love,eminem featuring lil wayne,93,4,0
love all over me,monica,94,1,1
lay me down,the dirty heads featuring rome,95,4,0
the man i want to be,chris young,96,20,0
wavin' flag,k'naan,97,7,0
roll with it,easton corbin,98,1,1
eenie meenie,sean kingston & justin bieber,99,17,0
mockingbird,rob thomas,100,1,1
girls like you,maroon 5 featuring cardi b,1,21,0
zeze,kodak black featuring travis scott & offset,2,1,1
lucid dreams,juice wrld,3,23,0
better now,post malone,4,25,0
mia,bad bunny featuring drake,5,1,1
happier,marshmello & bastille,6,9,0
sicko mode,travis scott,7,11,0
drip too hard,lil baby & gunna,8,5,0
youngblood,5 seconds of summer,9,20,0
shallow,lady gaga & bradley cooper,10,3,0
trip,ella mai,11,11,0
i like it,cardi b  bad bunny & j balvin,12,28,0
natural,imagine dragons,13,13,0
love lies,khalid & normani,14,35,0
in my feelings,drake,15,16,0
taki taki,dj snake featuring selena gomez  ozuna & cardi b,16,3,0
taste,tyga featuring offset,17,21,0
fefe,6ix9ine featuring nicki minaj & murda beatz,18,13,0
god is a woman,ariana grande,19,14,0
nonstop,drake,20,16,0
mo bamba,sheck wes,21,8,0
eastside,benny blanco  halsey & khalid,22,14,0
without me,halsey,23,2,0
back to you,selena gomez,24,23,0
boo'd up,ella mai,25,29,0
i love it,kanye west & lil pump,26,6,0
high hopes,panic! at the disco,27,11,0
yes indeed,lil baby & drake,28,23,0
big bank,yg featuring 2 chainz  big sean & nicki minaj,29,20,0
close friends,lil baby,30,2,0
meant to be,bebe rexha & florida georgia line,31,52,0
beautiful,bazzi featuring camila cabello,32,11,0
broken,lovelytheband,33,14,0
delicate,taylor swift,34,32,0
never recover,lil baby & gunna featuring drake,35,2,0
uproar,lil wayne,36,3,0
i'm a mess,bebe rexha,37,14,0
psycho,post malone featuring ty dolla $ign,38,34,0
