Date,ArtistName,Rank,Weeks,isNew
2019-01-19,Riley Green,33,12,False
2019-01-19,Blueface,34,3,False
2019-01-19,MONSTA X,35,41,False
2019-01-19,flora cash,36,14,False
2019-01-19,YNW Melly,37,19,False
2019-01-19,NCT 127,38,21,False
2019-01-19,The Revivalists,39,36,False
2019-01-19,NCT,40,33,False
2019-01-19,Calum Scott,41,45,False
2019-01-19,The Glorious Sons,42,7,False
2019-01-19,Rita Ora,43,25,False
2019-01-19,Cory Asbury,44,47,False
2019-01-19,Josh Baldwin,45,2,False
2019-01-19,Manuel Turizo,46,16,False
2019-01-19,Keala Settle,47,42,False
2019-01-19,Jackson Wang,48,3,False
2019-01-19,Summer Walker,49,13,False
2019-01-19,The Last Ten Seconds Of Life,50,1,True
2019-01-12,lovelytheband,1,42,False
2019-01-12,Dean Lewis,2,17,False
2019-01-12,Lauv,3,70,False
2019-01-12,Ava Max,4,10,False
2019-01-12,Mitchell Tenpenny,5,27,False
2019-01-12,Jimmie Allen,6,22,False
2019-01-12,Louis Tomlinson,7,49,False
2019-01-12,Jordan Davis,8,65,False
2019-01-12,Queen Naija,9,43,False
2019-01-12,Pinkfong,10,15,False
2019-01-12,AJR,11,55,False
2019-01-12,Jacquees,12,48,False
2019-01-12,Pardison Fontaine,13,16,False
2019-01-12,Yella Beezy,14,31,False
2019-01-12,Calboy,15,5,False
2019-01-12,MONSTA X,16,40,False
2019-01-12,Loud Luxury,17,20,False
2019-01-12,Silk City,18,17,False
2019-01-12,Lil' Duval,19,23,False
2019-01-12,Lil Mosey,20,19,False
2019-01-12,Morgan Wallen,21,52,False
2019-01-12,flora cash,22,13,False
2019-01-12,DaniLeigh,23,7,False
2019-01-12,Riley Green,24,11,False
2019-01-12,YNW Melly,25,18,False
2019-01-12,Alec Benjamin,26,2,False
2019-01-12,BLACKPINK,27,23,False
2019-01-12,Roddy Ricch,28,4,False
2019-01-12,The Revivalists,29,35,False
2019-01-12,Lizzo,30,1,True
2019-01-12,Cosmo Sheldrake,31,1,True
2019-01-12,BAEKHYUN,32,9,False
2019-01-12,Blueface,33,2,False
2019-01-12,Calum Scott,34,44,False
2019-01-12,Cory Asbury,35,46,False
2019-01-12,The Glorious Sons,36,6,False
2019-01-12,iKON,37,3,False
2019-01-12,Keala Settle,38,41,False
2019-01-12,Raymix,39,34,False
2019-01-12,City Girls,40,6,False
2019-01-12,Josh Baldwin,41,1,True
2019-01-12,SHAED,42,2,False
2019-01-12,Summer Walker,43,12,False
2019-01-12,Wanna One,44,35,False
2019-01-12,Bryce Vine,45,25,False
2019-01-12,NCT,46,32,False
2019-01-12,Brando,47,2,False
2019-01-12,Coca Vango,48,4,False
2019-01-12,We Are Messengers,49,1,True
2019-01-12,Paulo Londra,50,3,False
2019-01-05,lovelytheband,1,41,False
2019-01-05,Lauv,2,69,False
2019-01-05,Mitchell Tenpenny,3,26,False
2019-01-05,Dean Lewis,4,16,False
2019-01-05,Jimmie Allen,5,21,False
2019-01-05,Ava Max,6,9,False
2019-01-05,NCT,7,31,False
2019-01-05,Pinkfong,8,14,False
2019-01-05,BAEKHYUN,9,8,False
2019-01-05,Queen Naija,10,42,False
2019-01-05,Jordan Davis,11,64,False
2019-01-05,Palisades,12,1,True
2019-01-05,Jacquees,13,47,False
2019-01-05,Pardison Fontaine,14,15,False
2019-01-05,AJR,15,54,False
2019-01-05,Louis Tomlinson,16,48,False
2019-01-05,Calboy,17,4,False
2019-01-05,Lil' Duval,18,22,False
2019-01-05,Silk City,19,16,False
2019-01-05,Morgan Wallen,20,51,False
2019-01-05,Wanna One,21,34,False
2019-01-05,Yella Beezy,22,30,False
2019-01-05,Loud Luxury,23,19,False
2019-01-05,Lil Mosey,24,18,False
2019-01-05,BLACKPINK,25,22,False
2019-01-05,DaniLeigh,26,6,False
2019-01-05,YNW Melly,27,17,False
2019-01-05,Raymix,28,33,False
