Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Followers,Popularity,Target
In Hell I'll Be in Good Company,the dead south,2014,04,0.772,0.235,7,-9.075,0,0.0479,0.753,0.00125,0.111,0.703,154.802,260276,63,0
B!g,pastor mike jr.,2019,05,0.308,0.855,1,-4.782,0,0.302,0.0199,0,0.183,0.523,189.503,689,35,0
UN Village,baekhyun,2019,07,0.674,0.589,6,-3.806,0,0.112,0.267,0,0.312,0.577,83.985,734303,64,0
Catamaran,allah-las,2012,09,0.564,0.846,4,-5.897,0,0.0437,0.00692,0.00175,0.0452,0.696,122.035,163078,61,0
Sinking Me,thousand below,2017,10,0.319,0.985,6,-3.146,1,0.105,6.62e-05,0.0101,0.322,0.331,164.814,31204,54,0
La La Land (feat. YG),bryce vine,2019,07,0.774,0.473,1,-5.122,0,0.0569,0.221,0,0.222,0.416,97.953,227086,76,1
Problems,a r i z o n a,2019,10,0.72,0.658,2,-7.414,1,0.0446,0.0329,0.0302,0.123,0.134,98.001,266406,74,0
Post Malone (feat. RANI),sam feldt,2019,05,0.59,0.642,7,-3.87,1,0.122,0.0771,0,0.105,0.651,107.356,430559,81,0
"Yo x Ti, Tu x Mi",rosalia,2019,08,0.78,0.759,1,-3.292,1,0.225,0.462,0.000868,0.143,0.579,91.952,1760814,85,0
Wrong,luh kel,2019,04,0.745,0.728,0,-3.39,1,0.0423,0.352,0,0.228,0.39,120.099,140926,75,0
Strange Love,simple creatures,2019,03,0.59,0.6,6,-7.251,1,0.0307,0.00943,0,0.123,0.389,91.964,57421,58,0
F.N,lil tjay,2019,10,0.567,0.515,6,-10.265,0,0.247,0.354,0,0.078,0.321,120.1,609959,86,1
Under the Sun,diiv,2016,02,0.552,0.851,2,-6.229,1,0.033,0.00143,0.774,0.131,0.938,154.962,217491,61,0
Deserted,gatecreeper,2019,10,0.212,0.917,11,-6.51,1,0.0571,3.22e-06,0.77,0.0901,0.139,132.337,21858,45,0
Double Knot,stray kids,2019,10,0.716,0.814,5,-2.889,0,0.35,0.0486,0,0.607,0.575,146.925,1511970,75,0
Tip of My Hat (Live),ghost town blues band,2018,02,0.799,0.73,0,-6.648,1,0.0414,0.29,9.74e-05,0.975,0.898,120.336,1374,24,0
The Loss Inside,flying colors,2019,10,0.477,0.924,2,-7.274,1,0.0434,0.000412,1.41e-05,0.393,0.585,145.977,36133,45,0
Pretty Girl,clairo,2017,08,0.93,0.611,0,-4.406,1,0.0415,0.593,0.00124,0.0592,0.695,112.127,762899,79,0
The Hammer,kublai khan tx,2017,09,0.299,0.905,6,-3.638,1,0.156,0.000272,0,0.376,0.616,163.368,40082,54,0
Bitchuary,shordie shordie,2018,12,0.762,0.383,5,-10.098,0,0.202,0.349,0,0.127,0.44,92.947,34110,67,0
Hold On,chord overstreet,2017,02,0.608,0.445,2,-9.551,1,0.055,0.497,0,0.0802,0.189,119.886,29363,66,0
Chicken Noodle Soup (feat. Becky G),j-hope,2019,09,0.826,0.817,2,-4.081,1,0.0921,0.00502,1.09e-05,0.294,0.168,97.053,2309190,71,0
Jopping,superm,2019,10,0.74,0.835,10,-3.425,0,0.0839,0.0139,0,0.857,0.535,123.024,264008,71,0
Away From The Mire,billy strings,2019,09,0.379,0.593,6,-9.113,0,0.0295,0.584,0.00547,0.122,0.511,143.207,34695,54,0
Adicto (with Anuel AA & Ozuna),tainy,2019,08,0.734,0.836,10,-4.803,0,0.0735,0.017,1.64e-05,0.179,0.623,80.002,42072,86,0
Ashley (feat. DaBaby),stunna 4 vegas,2019,05,0.884,0.807,8,-3.462,0,0.325,0.00284,0,0.111,0.916,144.018,69618,70,0
Buy My Own Drinks,runaway june,2019,06,0.686,0.9,5,-4.406,1,0.0614,0.068,0,0.0985,0.962,155.963,35493,58,1
Sleeptalk,dayseeker,2019,09,0.49,0.946,5,-3.563,0,0.118,0.0563,0,0.749,0.24,130.042,40553,57,0
BMO,ari lennox,2019,05,0.72,0.647,1,-5.411,0,0.0642,0.0116,0.000206,0.571,0.809,157.877,209651,73,0
There Will Be Blood,kim petras,2019,10,0.562,0.879,0,-4.733,0,0.0905,0.00119,1.81e-05,0.167,0.602,107.026,237977,73,0
Trampoline (with ZAYN),shaed,2019,09,0.619,0.459,7,-5.782,0,0.0334,0.56,0,0.137,0.498,126.803,68623,81,1
Bulletproof - Tangle Eye Mix,samantha fish,2019,09,0.67,0.554,7,-9.047,1,0.0344,0.0156,0.557,0.208,0.482,110.025,46770,46,0
Crazy Story,king von,2018,12,0.832,0.501,11,-8.885,1,0.456,0.0114,1.02e-05,0.0904,0.151,157.01,50473,64,0
See You Around,sleep on it,2016,10,0.456,0.95,5,-4.727,0,0.0719,0.000611,0.000321,0.103,0.542,126.044,25113,48,0
My Year,gashi,2019,09,0.84,0.811,11,-3.243,0,0.0498,0.213,0,0.258,0.71,145.025,107889,72,0
Highland Grace,hiss golden messenger,2016,10,0.681,0.319,3,-9.927,1,0.0395,0.649,5.7e-05,0.113,0.21,121.783,46234,59,0
Isis,joyner lucas,2019,05,0.918,0.837,1,-6.792,1,0.255,0.234,0,0.227,0.855,120.017,933362,79,0
Death Note,gnar,2019,06,0.762,0.709,11,-5.333,1,0.337,0.141,0,0.0798,0.537,174.041,153958,64,0
Rust,monolord,2017,09,0.27,0.45,11,-9.846,0,0.0359,0.00386,0.897,0.103,0.205,122.232,39423,45,0
fast,sueco the child,2019,09,0.861,0.599,7,-7.814,0,0.217,0.182,0.00855,0.102,0.527,100.026,35123,69,0
Flatlands,chelsea wolfe,2012,10,0.211,0.274,7,-14.899,0,0.031,0.595,0.318,0.0884,0.173,82.812,150355,56,0
War of Words,kxm,2019,09,0.438,0.99,8,-4.461,0,0.203,1.06e-05,0.00536,0.378,0.231,135.56,7817,28,0
Playing Games (with Bryson Tiller) - Extended Version,summer walker,2019,10,0.726,0.408,11,-6.606,0,0.0614,0.603,0,0.225,0.459,115.918,657316,86,1
