Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Followers,Popularity,Ranks,Weeks,isNew,Target
sure thing,miguel,2010,11,0.684,0.603,11,-8.127,0,0.0989,0.0275,0.000311,0.191,0.504,81.0,2499198,81,71,4,0,1
little miss,sugarland,2010,01,0.351,0.797,11,-4.286,1,0.0379,0.0959,4.12e-05,0.157,0.243,129.14,1046326,63,72,12,0,1
i wanna go,britney spears,2011,03,0.696,0.546,5,-6.55,1,0.0414,0.00379,3.8e-06,0.332,0.787,130.002,6619014,80,73,1,1,1
hold it against me,britney spears,2011,03,0.648,0.722,0,-4.813,0,0.0427,0.0103,0,0.24,0.389,132.973,6619014,80,75,12,0,1
bring it back,travis porter,2012,05,0.944,0.76,11,-4.355,0,0.0851,0.116,0,0.113,0.545,98.001,595366,60,76,3,0,1
sing,my chemical romance,2010,11,0.606,0.942,2,-3.618,1,0.0357,0.000233,7.07e-06,0.106,0.373,110.98,4340242,79,77,8,0,1
loser like me,glee cast,2011,03,0.701,0.864,3,-4.351,1,0.0631,0.00331,0,0.0421,0.811,106.034,1154998,79,79,3,0,1
country song,seether,2011,01,0.63,0.86,0,-6.117,1,0.0327,0.00115,1.19e-06,0.231,0.911,95.978,1766516,72,80,3,0,1
boom,snoop dogg,2011,01,0.498,0.875,6,-5.602,0,0.399,0.168,0,0.028,0.397,103.732,5208197,85,81,3,0,1
grove st. party,waka flocka flame,2010,10,0.705,0.702,0,-4.783,0,0.108,0.138,0,0.364,0.771,140.059,1705075,70,82,3,0,1
beggin' on your knees,victorious cast,2011,08,0.623,0.869,5,-3.376,1,0.0481,0.00841,0,0.0771,0.663,130.013,1029242,63,83,1,1,1
fall for your type,jamie foxx,2010,12,0.593,0.393,1,-11.736,1,0.0827,0.394,3.24e-06,0.11,0.193,136.866,575946,70,84,17,0,1
boyfriend,big time rush,2010,10,0.614,0.857,1,-4.171,0,0.111,0.0987,0,0.177,0.677,164.146,1607057,66,85,4,0,1
racks,yc,2011,01,0.768,0.721,2,-5.562,1,0.0623,0.0863,0,0.0645,0.638,139.966,8802,35,86,1,1,1
georgia clay,josh kelley,2011,01,0.612,0.731,6,-5.022,1,0.0317,0.0699,0,0.188,0.56,106.982,25437,42,87,2,0,1
party rock anthem,lmfao,2011,01,0.75,0.727,5,-4.21,0,0.142,0.0189,0,0.266,0.359,129.993,3253642,68,88,2,0,1
family man,craig campbell,2011,04,0.554,0.621,11,-7.076,1,0.0269,0.162,2.56e-05,0.155,0.151,155.817,206633,56,89,2,0,1
next to you,chris brown,2011,03,0.67,0.676,8,-4.725,1,0.037,0.0201,0,0.11,0.349,114.974,9765966,92,90,2,0,1
far away,marsha ambrosius,2011,02,0.433,0.668,9,-6.544,1,0.211,0.221,0,0.126,0.351,70.478,305700,55,91,3,0,1
rope,foo fighters,2011,04,0.511,0.728,11,-4.874,0,0.037,2.52e-05,7.41e-05,0.0725,0.541,138.179,6908220,80,92,5,0,1
no bs,chris brown,2011,03,0.426,0.612,1,-6.359,0,0.0567,0.12,0,0.119,0.106,172.171,9765966,92,93,17,0,1
walking,mary mary,2011,03,0.759,0.546,6,-6.071,0,0.115,0.13,0.000194,0.192,0.584,100.085,2025005,72,94,4,0,1
welcome to my hood,dj khaled,2011,01,0.583,0.804,7,-4.074,1,0.273,0.0227,0,0.228,0.463,139.594,4267785,81,95,6,0,1
i smile,kirk franklin,2011,03,0.745,0.753,1,-2.408,1,0.164,0.223,0,0.705,0.589,144.057,632349,66,96,4,0,1
my last,big sean,2011,01,0.387,0.773,8,-5.685,1,0.17,0.098,0,0.209,0.368,78.629,6697978,84,97,2,0,1
this is country music,brad paisley,2011,05,0.507,0.669,2,-5.104,1,0.0275,0.126,0.000263,0.111,0.484,88.525,1598312,70,98,15,0,1
crazy girl,eli young band,2011,01,0.358,0.708,4,-3.736,1,0.0315,0.0006,0.00498,0.281,0.227,150.966,526101,68,99,4,0,1
homeboy,eric church,2011,01,0.558,0.673,6,-4.914,1,0.0291,0.015,0.000655,0.0758,0.445,139.985,2242221,75,100,3,0,1
nice for what,drake,2018,06,0.586,0.909,8,-6.474,1,0.0705,0.0891,0.000109,0.119,0.757,93.394,41754617,97,1,10,0,1
psycho,post malone,2018,04,0.739,0.559,8,-8.011,1,0.117,0.58,0,0.112,0.439,140.124,18914903,100,2,16,0,1
girls like you,maroon 5,2018,06,0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,20610226,91,5,3,0,1
lucid dreams,juice wrld,2018,12,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,5909097,92,6,5,0,1
no tears left to cry,ariana grande,2018,08,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,37569989,94,9,8,0,1
meant to be,bebe rexha,2017,08,0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,4251555,86,10,34,0,1
yes indeed,lil baby,2018,05,0.964,0.346,5,-9.309,0,0.53,0.035,0,0.108,0.562,119.958,2863873,90,11,5,0,1
this is america,childish gambino,2018,05,0.854,0.463,5,-6.159,1,0.137,0.117,0,0.354,0.549,120.024,5577548,80,12,6,0,1
friends,marshmello,2018,02,0.626,0.88,9,-2.384,0,0.0504,0.205,0,0.128,0.534,95.079,17759978,88,13,18,0,1
walk it talk it,migos,2018,01,0.909,0.628,2,-5.456,1,0.201,0.0739,0,0.108,0.406,145.905,9525378,85,14,20,0,1
mine,bazzi,2018,04,0.71,0.789,4,-3.874,1,0.0722,0.0161,2.77e-06,0.451,0.717,142.929,2357781,85,15,21,0,1
in my blood,shawn mendes,2018,05,0.622,0.712,5,-7.321,1,0.066,0.0573,0,0.13,0.487,140.025,21159030,92,16,13,0,1
perfect,ed sheeran,2017,03,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,53364183,96,17,42,0,1
look alive,blocboy jb,2018,02,0.922,0.581,10,-7.495,1,0.27,0.00104,5.86e-05,0.105,0.595,140.022,914560,72,18,18,0,1
never be the same,camila cabello,2018,01,0.637,0.713,0,-4.333,1,0.0747,0.181,0.000637,0.137,0.243,129.923,12719494,93,19,26,0,1
better now,post malone,2018,04,0.68,0.563,10,-5.843,1,0.0454,0.354,0,0.136,0.374,145.028,18914903,100,20,7,0,1
whatever it takes,imagine dragons,2017,06,0.672,0.655,10,-5.021,0,0.0311,0.0362,0,0.117,0.556,134.945,22913687,90,21,20,0,1
back to you,selena gomez,2018,05,0.601,0.724,6,-4.856,1,0.0486,0.0945,1.68e-06,0.12,0.508,102.061,17506985,91,22,5,0,1
be careful,cardi b,2018,04,0.82,0.568,6,-8.23,0,0.411,0.0256,0,0.0952,0.535,152.279,9774706,91,23,11,0,1
rockstar,post malone,2018,04,0.587,0.535,5,-6.09,0,0.0898,0.117,6.56e-05,0.131,0.14,159.847,18914903,100,24,39,0,1
delicate,taylor swift,2017,11,0.75,0.404,9,-10.178,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,24009099,94,25,14,0,1
heaven,kane brown,2017,10,0.677,0.556,9,-6.544,1,0.0306,0.263,0,0.105,0.521,80.009,1931483,82,26,25,0,1
havana,camila cabello,2018,01,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,12719494,93,27,44,0,1
wait,maroon 5,2018,06,0.655,0.603,8,-5.014,1,0.0555,0.0959,0,0.107,0.452,126.088,20610226,91,29,22,0,1
one kiss,calvin harris,2018,04,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,18623166,87,30,10,0,1
all mine,kanye west,2018,06,0.925,0.31,11,-6.531,0,0.291,0.123,0,0.0931,0.291,121.927,10601206,95,31,2,0,1
tequila,dan + shay,2018,06,0.489,0.581,11,-5.731,1,0.0281,0.0312,0,0.132,0.494,86.016,1198002,85,32,14,0,1
plug walk,rich the kid,2018,03,0.876,0.519,11,-6.531,1,0.143,0.202,0,0.108,0.158,94.981,1813878,82,33,18,0,1
love lies,khalid,2018,02,0.708,0.648,6,-5.626,1,0.0449,0.0956,0,0.134,0.338,143.955,9018136,95,34,17,0,1
