Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Followers,Target
mastodon,deep sea creature,2006,02,0.269,0.993,5.0,-3.219,1.0,0.171,6.53e-06,0.134,0.195,0.218,87.795,507143,0
i hate sally,martha served,2007,06,0.192,0.987,1.0,-5.382,1.0,0.111,1.06e-05,0.681,0.818,0.202,103.886,431,0
brigada victor jara,parto em terras distantes,1998,07,0.397,0.359,4.0,-13.607,0.0,0.0315,0.0697,0.000742,0.0566,0.412,173.824,1870,0
atreyu,you eclipsed by me ,2004,06,0.375,0.96,8.0,-4.498,1.0,0.0883,0.00186,0.138,0.383,0.61,157.67,519211,0
linkin park,crawling ,2000,10,0.58,0.702,4.0,-5.565,1.0,0.0337,0.0466,3.2e-06,0.536,0.299,105.076,125259,0
back door slam,heavy on my mind ,2018,06,0.229,0.804,3.0,-3.598,0.0,0.0442,0.0353,1.84e-05,0.106,0.577,185.763,2544,0
dave hollister,calm da seas,2008,08,0.589,0.554,11.0,-5.228,1.0,0.0275,0.322,0.0,0.196,0.165,118.03,13772069,0
casa bulga,afraid of change ,2008,09,0.751,0.922,0.0,-7.695,1.0,0.0441,0.000102,0.704,0.0399,0.399,125.006,3486,0
bob marley & the wailers,rainbow country ,2000,01,0.776,0.594,11.0,-7.676,0.0,0.0563,0.345,0.000395,0.087,0.692,148.924,242661,0
tanto metro & devonte,strange things,2018,05,0.769,0.855,6.0,-5.368,0.0,0.188,0.291,0.0,0.185,0.802,92.471,4,0
hot tuna,parchman farm,2019,09,0.403,0.416,1.0,-10.964,0.0,0.0313,0.113,0.701,0.34,0.585,138.469,7332978,0
daddy yankee,a lo clasico,2007,06,0.853,0.84,4.0,-3.63,0.0,0.116,0.0476,0.0,0.142,0.816,91.024,26383,0
william orbit,cavalleria rusticana,1995,01,0.459,0.156,5.0,-18.99,1.0,0.0708,0.958,0.912,0.176,0.382,117.725,37901,0
radiohead,15 step,2007,12,0.6,0.853,1.0,-7.584,1.0,0.0423,0.0489,0.346,0.0934,0.847,94.457,14053714,0
bongzilla,champagne & reefer,2005,09,0.28,0.819,4.0,-4.095,1.0,0.0391,0.00154,0.828,0.112,0.734,97.085,23522,0
van halen,from afar ,1998,03,0.299,0.467,4.0,-8.628,0.0,0.0353,0.00703,2.57e-05,0.0883,0.303,175.687,3642216,0
tim wilson,uncle b.s. - 1963,1999,01,0.558,0.815,2.0,-10.491,1.0,0.911,0.823,0.0,0.882,0.609,80.167,4594111,0
the chap,volumatic spacer device,2003,03,0.904,0.368,9.0,-10.659,1.0,0.138,0.723,0.314,0.087,0.49,123.01,36756,0
britney spears,3,2009,11,0.697,0.709,5.0,-1.917,0.0,0.0455,0.0452,0.0,0.138,0.787,134.91,2719693,0
snow patrol,spitting games,2004,01,0.498,0.89,7.0,-3.935,1.0,0.0292,0.000683,0.0476,0.562,0.518,145.168,5749,0
rise against,drones,2006,01,0.524,0.995,8.0,-3.717,1.0,0.054,0.000111,4.91e-06,0.0561,0.427,104.683,3033,0
bob dylan,trying to get to heaven,1997,09,0.481,0.479,3.0,-13.366,1.0,0.0325,0.476,0.00105,0.271,0.552,95.274,6574792,0
maximilian hecker,birch,2016,04,0.241,0.179,5.0,-10.38,0.0,0.0336,0.954,0.0314,0.113,0.0393,77.203,34565,0
albert collins,same old thing,1993,01,0.712,0.591,0.0,-11.609,1.0,0.0394,0.12,0.00135,0.0454,0.737,94.485,92537,0
salt the wound,from my hands,2009,09,0.262,0.937,2.0,-5.33,1.0,0.244,2.22e-05,0.199,0.0741,0.228,89.718,1811283,0
eminem,the way i am,2000,05,0.81,0.871,4.0,-2.672,0.0,0.241,0.13,0.0,0.313,0.299,87.328,1973228,0
shakira,que vuelvas,1998,09,0.688,0.917,2.0,-7.449,1.0,0.0314,0.0185,0.00241,0.0712,0.788,123.873,3652457,0
ten madison,cup horn,2006,07,0.721,0.855,10.0,-9.002,0.0,0.0538,0.105,0.854,0.111,0.664,95.006,7532,0
sonora carruseles,vitamina,2015,07,0.675,0.785,5.0,-8.232,1.0,0.055,0.391,0.111,0.106,0.745,108.31,100504,0
audio adrenaline,some kind of zombie ,1997,01,0.587,0.939,2.0,-4.759,1.0,0.0459,0.0025,0.00614,0.155,0.31,108.112,261815,0
ann lee,so deep,1999,09,0.607,0.928,7.0,-5.702,1.0,0.0287,0.000804,0.000105,0.358,0.637,131.96,1701,0
life long tragedy,collecting dust,2008,02,0.218,0.759,7.0,-6.175,1.0,0.0558,0.000146,0.00736,0.252,0.214,121.309,30198272,0
tim exile,oh scat mix up,2006,05,0.649,0.878,1.0,-3.936,1.0,0.271,0.00415,0.0068,0.849,0.837,141.13,17392741,0
bill engvall,t-ball and indian guides ,1998,10,0.542,0.834,1.0,-10.31,1.0,0.952,0.733,0.0,0.959,0.292,79.438,1368,0
